"max_score","subject_ID","match"
25.694,"1",0
23.414,"2",0
29.796,"3",0
31.193,"4",0
22.884,"5",0
23.123,"6",0
15.633,"7",0
23.459,"8",0
41.991,"9",0
8.646,"10",0
13.798,"11",0
22.797,"12",0
14.282,"13",0
27.749,"14",0
13.71,"15",0
18.18,"16",0
46.812,"17",0
33.806,"18",1
20.013,"19",0
17.73,"20",0
11.979,"21",0
21.71,"22",0
8.88,"23",0
21.4,"24",0
52.005,"25",0
52.109,"26",0
22.202,"27",0
9.979,"28",0
25.611,"29",0
34.561,"30",0
24.799,"31",0
82.912,"32",0
28.268,"33",0
11.441,"34",0
54.411,"35",0
27.841,"36",0
75.67,"37",0
30.435,"38",0
26.302,"39",0
35.132,"40",0
26.162,"41",0
32.557,"42",0
28.324,"43",0
39.901,"44",1
27.914,"45",0
45.758,"46",0
29.938,"47",0
26.632,"48",0
54.391,"49",0
24.585,"50",0
18.008,"51",0
55.101,"52",0
43.653,"53",0
37.165,"54",0
30.836,"55",0
33.86,"56",0
23.971,"57",0
33.249,"58",0
17.367,"59",0
23.505,"60",0
61.621,"61",0
32.506,"62",0
28.873,"63",0
37.589,"64",0
29.665,"65",0
31.126,"66",0
26.88,"67",0
65.998,"68",0
38.651,"69",0
22.265,"70",0
31.271,"71",0
38.755,"72",0
27.905,"73",0
44.675,"74",0
22.525,"75",0
38.981,"76",0
28.361,"77",0
45.477,"78",0
14.552,"79",1
27.338,"80",0
26.775,"81",0
26.305,"82",0
36.282,"83",0
20.917,"84",0
26.265,"85",0
32.063,"86",0
33.596,"87",0
8.56,"88",0
23.449,"89",0
32.247,"90",0
22.271,"91",0
20.763,"92",0
22.48,"93",0
57.344,"94",0
23.559,"95",0
38.592,"96",0
26.036,"97",0
42.957,"98",0
15.22,"99",0
17.467,"100",0
23.125,"101",0
18.335,"102",0
18.287,"103",0
23.98,"104",0
23.339,"105",0
39.676,"106",0
16.248,"107",0
21.479,"108",0
28.313,"109",0
29.283,"110",0
29.013,"111",0
36.581,"112",0
32.546,"113",0
60.183,"114",0
3.38,"115",0
30.986,"116",0
22.428,"117",0
41.566,"118",0
65.375,"119",0
94.338,"120",1
28.663,"121",0
24.42,"122",0
25.459,"123",0
24.64,"124",0
17.798,"125",0
24.051,"126",0
26.113,"127",0
16.769,"128",0
30.532,"129",0
28.077,"130",0
42.711,"131",0
17.054,"132",0
34.426,"133",0
31.348,"134",0
34.472,"135",0
29.354,"136",0
25.532,"137",0
24.817,"138",0
40.787,"139",0
19.886,"140",0
38.299,"141",0
16.771,"142",0
34.076,"143",0
19.331,"144",0
23.284,"145",0
25.453,"146",0
8.305,"147",0
20.365,"148",0
24.81,"149",0
27.854,"150",0
29.095,"151",0
21.881,"152",0
33.668,"153",0
39.665,"154",0
29.756,"155",0
42.225,"156",0
33.055,"157",0
29.418,"158",0
69.885,"159",0
26.327,"160",0
20.145,"161",1
27.651,"162",0
17.223,"163",0
18.896,"164",0
34.088,"165",0
17.589,"166",0
25.908,"167",0
29.681,"168",0
49.451,"169",0
21.861,"170",0
35.137,"171",0
26.129,"172",0
36.56,"173",0
40.019,"174",0
27.679,"175",0
24.123,"176",0
29.348,"177",0
34.636,"178",0
16.795,"179",0
46.642,"180",0
32.989,"181",0
30.049,"182",0
42.941,"183",0
63.406,"184",0
14.209,"185",0
59.791,"186",0
25.442,"187",0
28.63,"188",0
27.234,"189",0
22.676,"190",0
20.724,"191",0
30.237,"192",0
17.404,"193",0
27.715,"194",0
30.466,"195",0
11.557,"196",0
23.98,"197",0
34.963,"198",0
37.38,"199",0
35.786,"200",0
15.476,"201",0
31.285,"202",0
31.169,"203",0
19.25,"204",0
59.917,"205",0
3.967,"206",0
30.341,"207",0
7.122,"208",0
32.356,"209",0
32.099,"210",0
22.034,"211",0
19.462,"212",0
36.693,"213",0
52.695,"214",0
25.935,"215",0
29.318,"216",0
18.92,"217",0
25.252,"218",0
13.411,"219",0
38.504,"220",0
30.526,"221",0
32.025,"222",0
30.99,"223",0
30.46,"224",0
22.407,"225",0
51.331,"226",0
27.104,"227",0
34.27,"228",0
35.788,"229",0
21.608,"230",0
35.849,"231",0
36.391,"232",0
17.202,"233",0
53.556,"234",0
12.411,"235",0
3.488,"236",0
24.023,"237",0
19.641,"238",0
53.792,"239",0
14.042,"240",0
25.979,"241",0
40.588,"242",0
22.247,"243",0
22.762,"244",0
22.707,"245",0
28.078,"246",0
25.947,"247",0
30.415,"248",0
8.504,"249",0
47.459,"250",0
28.531,"251",0
36.626,"252",0
33.604,"253",0
16.033,"254",0
27.743,"255",0
53.258,"256",0
45.217,"257",0
17.576,"258",0
22.302,"259",0
15.827,"260",0
12.178,"261",0
26.618,"262",0
20.531,"263",0
17.14,"264",0
22.683,"265",0
20.482,"266",0
56.071,"267",1
44.015,"268",0
25.688,"269",0
29.181,"270",0
44.594,"271",0
14.277,"272",0
36.654,"273",0
21.977,"274",0
24.112,"275",0
16.851,"276",0
30.464,"277",0
26.409,"278",0
46.445,"279",1
23.178,"280",0
119.598,"281",1
29.741,"282",0
17.951,"283",0
24.281,"284",0
42.719,"285",0
29.476,"286",0
28.323,"287",0
31.377,"288",0
46.731,"289",0
52.324,"290",0
31.69,"291",0
32.544,"292",0
25.171,"293",0
30.045,"294",0
25.333,"295",0
17.763,"296",0
17.76,"297",0
21.655,"298",0
